batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
KS Bharat,8,199,168,12,8,7,3,24.875,118.45238095238095,0.11904761904761904,0.375,0.875,3,Anchor
KS Sharma,3,16,25,1,0,3,0,5.333333333333333,64.0,0.04,0.0,1.0,3,Anchor
KS Williamson,35,830,753,76,20,25,10,23.714285714285715,110.22576361221779,0.12749003984063745,0.2857142857142857,0.7142857142857143,4,Middle-order
KV Sharma,5,34,21,2,3,4,0,6.8,161.9047619047619,0.23809523809523808,0.0,0.8,9,Finisher
Kartik Tyagi,6,13,16,1,0,4,0,2.1666666666666665,81.25,0.0625,0.0,0.6666666666666666,9,Finisher
Kuldeep Yadav,24,139,169,12,3,5,1,5.791666666666667,82.24852071005917,0.08875739644970414,0.041666666666666664,0.20833333333333334,8,Finisher
Kumar Kushagra,3,3,7,0,0,3,0,1.0,42.857142857142854,0.0,0.0,1.0,5,Middle-order
L Wood,1,9,3,0,1,0,0,9.0,300.0,0.3333333333333333,0.0,0.0,10,Finisher
LB Williams,1,1,2,0,0,0,0,1.0,50.0,0.0,0.0,0.0,11,Finisher
LH Ferguson,6,67,47,6,2,3,0,11.166666666666666,142.5531914893617,0.1702127659574468,0.0,0.5,9,Finisher
LS Livingstone,35,869,561,60,61,29,10,24.82857142857143,154.90196078431373,0.21568627450980393,0.2857142857142857,0.8285714285714286,4,Middle-order
Lalit Yadav,21,305,301,27,7,15,3,14.523809523809524,101.32890365448506,0.11295681063122924,0.14285714285714285,0.7142857142857143,5,Middle-order
Liton Das,1,4,4,1,0,1,0,4.0,100.0,0.25,0.0,1.0,2,Opener
M Ashwin,7,31,42,2,1,5,0,4.428571428571429,73.80952380952381,0.07142857142857142,0.0,0.7142857142857143,9,Finisher
M Jansen,12,66,71,5,2,7,0,5.5,92.95774647887323,0.09859154929577464,0.0,0.5833333333333334,6,Finisher
M Markande,3,21,14,2,1,0,0,7.0,150.0,0.21428571428571427,0.0,0.0,10,Finisher
M Prasidh Krishna,5,8,17,0,0,1,0,1.6,47.05882352941176,0.0,0.0,0.2,9,Finisher
M Shahrukh Khan,37,553,413,35,37,25,4,14.945945945945946,133.89830508474577,0.17433414043583534,0.10810810810810811,0.6756756756756757,4,Middle-order
M Theekshana,2,7,7,0,1,1,0,3.5,100.0,0.14285714285714285,0.0,0.5,10,Finisher
M Vijay,3,32,44,4,0,3,0,10.666666666666666,72.72727272727273,0.09090909090909091,0.0,1.0,1,Opener
M Vohra,6,71,63,7,4,6,0,11.833333333333334,112.6984126984127,0.1746031746031746,0.0,1.0,3,Anchor
MA Agarwal,49,1403,1054,148,46,47,16,28.632653061224488,133.11195445920302,0.1840607210626186,0.32653061224489793,0.9591836734693877,2,Opener
MA Starc,5,9,11,1,0,2,0,1.8,81.81818181818183,0.09090909090909091,0.0,0.4,9,Finisher
MA Wood,2,11,5,1,1,1,0,5.5,220.00000000000003,0.4,0.0,0.5,9,Finisher
MC Henriques,4,31,32,0,1,2,0,7.75,96.875,0.03125,0.0,0.5,5,Middle-order
MD Shanaka,3,26,26,2,1,2,0,8.666666666666666,100.0,0.11538461538461539,0.0,0.6666666666666666,7,Finisher
MG Bracewell,4,58,49,6,1,2,0,14.5,118.36734693877551,0.14285714285714285,0.0,0.5,5,Middle-order
